data,preco,residuos,tendencia,sazonalidade,diff_1,diff_2,diff_3,diff_4,diff_5
2011-10-21,49.22,-0.15453826774089416,49.14261111111113,0.23192715662976335,-0.28000000000000114,0.8100000000000023,0.3999999999999986,0.22999999999999687,0.269999999999996
2011-10-22,49.22,-0.05315094379724078,49.0997777777778,0.17337316601943703,0.0,-0.28000000000000114,0.8100000000000023,0.3999999999999986,0.22999999999999687
2011-10-23,49.22,0.15767691222779592,49.057277777777806,0.005045309994397201,0.0,0.0,-0.28000000000000114,0.8100000000000023,0.3999999999999986
2011-10-24,49.22,0.2891808245908723,49.0087777777778,-0.07795860236867497,0.0,0.0,0.0,-0.28000000000000114,0.8100000000000023
2011-10-25,48.5,-0.45294045866422294,48.94722222222225,0.005718236441971692,-0.7199999999999989,-0.7199999999999989,-0.7199999999999989,-0.7199999999999989,-1.0
2011-10-26,48.89,-0.10957660889896036,48.879222222222246,0.1203543866767146,0.39000000000000057,-0.3299999999999983,-0.3299999999999983,-0.3299999999999983,-0.3299999999999983
2011-10-27,49.2,0.33221603585848075,48.81211111111113,0.05567285303039309,0.3100000000000023,0.7000000000000028,-0.01999999999999602,-0.01999999999999602,-0.01999999999999602
2011-10-28,49.2,0.16472620800245713,48.74694444444446,0.28832934755308665,0.0,0.3100000000000023,0.7000000000000028,-0.01999999999999602,-0.01999999999999602
2011-10-29,49.2,0.33699772599933475,48.68133333333334,0.18166894066732633,0.0,0.0,0.3100000000000023,0.7000000000000028,-0.01999999999999602
2011-10-30,49.2,0.6304179137927655,48.613777777777784,-0.044195691570546786,0.0,0.0,0.0,0.3100000000000023,0.7000000000000028
2011-10-31,49.2,0.8418553159836918,48.55455555555556,-0.19641087153924838,0.0,0.0,0.0,0.0,0.3100000000000023
2011-11-01,47.0,-1.2575578295562033,48.505444444444436,-0.24788661488823235,-2.200000000000003,-2.200000000000003,-2.200000000000003,-2.200000000000003,-2.200000000000003
2011-11-02,47.5,-0.8134467184450924,48.456666666666656,-0.14321994822156398,0.5,-1.7000000000000028,-1.7000000000000028,-1.7000000000000028,-1.7000000000000028
2011-11-03,48.0,-0.30835360420409463,48.404999999999994,-0.09664639579589941,0.5,1.0,-1.2000000000000028,-1.2000000000000028,-1.2000000000000028
2011-11-04,48.17,-0.020952195753379477,48.34877777777776,-0.15782558202438113,0.1700000000000017,0.6700000000000017,1.1700000000000017,-1.0300000000000011,-1.0300000000000011
2011-11-05,48.17,0.0811385710697749,48.28399999999999,-0.195138571069765,0.0,0.1700000000000017,0.6700000000000017,1.1700000000000017,-1.0300000000000011
2011-11-06,48.17,0.2338357541683675,48.217611111111104,-0.2814468652794699,0.0,0.0,0.1700000000000017,0.6700000000000017,1.1700000000000017
