data,preco,retorno,residuos,tendencia,sazonalidade,diff_1,diff_2,diff_3,diff_4,diff_5
2009-07-04,27.2,-0.0029325513196482023,-0.5382609750933041,26.06183333333334,-0.03841195413436732,-0.08000000000000185,-0.33000000000000185,-0.41000000000000014,0.48999999999999844,0.4499999999999993
2009-07-05,27.11,-0.003308823529411753,-0.8193867466982439,26.022333333333343,-0.0030708688630494206,-0.08999999999999986,-0.1700000000000017,-0.4200000000000017,-0.5,0.3999999999999986
2009-07-06,27.03,-0.002950940612320152,-1.0908003269451532,25.990166666666674,0.027336107881136607,-0.0799999999999983,-0.16999999999999815,-0.25,-0.5,-0.5799999999999983
2009-07-07,25.58,-0.05364409914909374,-1.33823551213034,25.964500000000008,0.03089269702842346,-1.4500000000000028,-1.5300000000000011,-1.620000000000001,-1.7000000000000028,-1.9500000000000028
2009-07-08,24.96,-0.02423768569194673,-0.48398165410564986,25.938500000000005,0.041264790051679524,-0.6199999999999974,-2.0700000000000003,-2.1499999999999986,-2.2399999999999984,-2.3200000000000003
2009-07-09,25.07,0.004407051282051322,-0.30810588250071375,25.908,0.04320199935400511,0.10999999999999943,-0.509999999999998,-1.9600000000000009,-2.039999999999999,-2.129999999999999
2009-07-10,25.15,0.0031910650179496347,0.526103994042493,25.868000000000006,0.07113828990812567,0.0799999999999983,0.18999999999999773,-0.4299999999999997,-1.8800000000000026,-1.9600000000000009
2009-07-11,25.19,0.0015904572564613417,0.5197938088573026,25.820000000000004,0.04835665410565622,0.0400000000000027,0.120000000000001,0.23000000000000043,-0.389999999999997,-1.8399999999999999
2009-07-12,25.23,0.0015879317189360087,0.5107505989807601,25.777833333333334,0.020762518303186817,0.03999999999999915,0.08000000000000185,0.16000000000000014,0.2699999999999996,-0.34999999999999787
2009-07-13,25.27,0.0015854141894569018,0.4868107841659465,25.748833333333337,-0.036708160709159006,0.03999999999999915,0.0799999999999983,0.120000000000001,0.1999999999999993,0.3099999999999987
2009-07-14,25.24,-0.0011871784724970524,0.4738779137955776,25.730166666666673,-0.043258315030146495,-0.030000000000001137,0.00999999999999801,0.04999999999999716,0.08999999999999986,0.16999999999999815
2009-07-15,25.66,0.016640253565768592,0.4637832719638192,25.737166666666667,-0.012473592807924067,0.4200000000000017,0.39000000000000057,0.4299999999999997,0.46999999999999886,0.5100000000000016
2009-07-16,24.84,-0.031956352299298496,1.3925406363049009,25.754,-0.008793037252368626,-0.8200000000000003,-0.3999999999999986,-0.4299999999999997,-0.39000000000000057,-0.3500000000000014
2009-07-17,24.72,-0.004830917874396157,1.3687886983204107,25.759666666666668,0.0005510985501005062,-0.120000000000001,-0.9400000000000013,-0.5199999999999996,-0.5500000000000007,-0.5100000000000016
2009-07-18,24.81,0.00364077669902918,1.2054778456072297,25.777,-0.0039651051536031415,0.08999999999999986,-0.030000000000001137,-0.8500000000000014,-0.4299999999999997,-0.46000000000000085
2009-07-19,24.89,0.0032245062474809405,1.176578620801027,25.806,-0.0027390249066892546,0.08000000000000185,0.1700000000000017,0.05000000000000071,-0.7699999999999996,-0.34999999999999787
2009-07-20,24.98,0.0036159100040176195,1.090737535529706,25.84216666666667,-0.0007799199684179285,0.08999999999999986,0.1700000000000017,0.26000000000000156,0.14000000000000057,-0.6799999999999997
2009-07-21,24.76,-0.008807045636509137,1.0124972254521905,25.88133333333334,-0.014866339721504113,-0.21999999999999886,-0.129999999999999,-0.04999999999999716,0.0400000000000027,-0.0799999999999983
2009-07-22,24.8,0.001615508885298933,-0.4153926970284333,25.937000000000012,-0.015764487869652233,0.03999999999999915,-0.17999999999999972,-0.08999999999999986,-0.00999999999999801,0.08000000000000185
2009-07-23,25.25,0.01814516129032251,-1.0197647900516835,26.025500000000008,-0.012185012561010356,0.4499999999999993,0.48999999999999844,0.2699999999999996,0.35999999999999943,0.4400000000000013
2009-07-24,25.41,0.006336633663366342,-0.8812019993540061,26.12450000000001,-0.016894117499281967,0.16000000000000014,0.6099999999999994,0.6499999999999986,0.4299999999999997,0.5199999999999996
2009-07-25,25.52,0.0043290043290042934,-0.7891382899081327,26.211833333333345,-0.02210399404249169,0.10999999999999943,0.2699999999999996,0.7199999999999989,0.759999999999998,0.5399999999999991
2009-07-26,25.63,0.004310344827586077,-0.6783566541056588,26.28866666666668,0.007039524476026179,0.10999999999999943,0.21999999999999886,0.379999999999999,0.8299999999999983,0.8699999999999974
2009-07-27,25.74,0.0042918454935623185,-0.5685958516365199,26.36950000000001,0.005082734352569398,0.10999999999999943,0.21999999999999886,0.3299999999999983,0.48999999999999844,0.9399999999999977
2009-07-28,26.26,0.020202020202020332,-0.44212517262417866,26.45833333333334,0.009689215834051008,0.5200000000000031,0.6300000000000026,0.740000000000002,0.8500000000000014,1.0100000000000016
2009-07-29,26.2,-0.0022848438690024064,-0.4469083516365277,26.54683333333334,-0.008377913795578918,-0.060000000000002274,0.46000000000000085,0.5700000000000003,0.6799999999999997,0.7899999999999991
2009-07-30,27.68,0.05648854961832073,-0.06469307385874276,26.616000000000003,-0.0072832719638244005,1.4800000000000004,1.4199999999999982,1.9400000000000013,2.0500000000000007,2.16
2009-07-31,27.65,-0.0010838150289017578,-0.9052069627476329,26.672666666666675,-0.007207302971576329,-0.030000000000001137,1.4499999999999993,1.389999999999997,1.9100000000000001,2.0199999999999996
2009-08-01,27.83,0.006509945750452051,-1.0402177652167695,26.732500000000005,-0.011955364987079976,0.17999999999999972,0.14999999999999858,1.629999999999999,1.5699999999999967,2.09
2009-08-02,28.02,0.00682716492993185,-0.9630348948463991,26.780333333333335,-0.038477845607235245,0.19000000000000128,0.370000000000001,0.33999999999999986,1.8200000000000003,1.759999999999998
2009-08-03,28.2,0.0064239828693790635,-0.9132609750933112,26.817833333333336,-0.03841195413436732,0.17999999999999972,0.370000000000001,0.5500000000000007,0.5199999999999996,2.0
2009-08-04,28.28,0.0028368794326241176,-0.8613867466982525,26.84966666666667,-0.0030708688630494206,0.08000000000000185,0.26000000000000156,0.45000000000000284,0.6300000000000026,0.6000000000000014
2009-08-05,28.21,-0.0024752475247524774,-1.1064669936118354,26.88533333333334,0.027336107881136607,-0.07000000000000028,0.010000000000001563,0.19000000000000128,0.38000000000000256,0.5600000000000023
2009-08-06,27.74,-0.016660758596242498,-1.121235512130359,26.932333333333332,0.03089269702842346,-0.4700000000000024,-0.5400000000000027,-0.46000000000000085,-0.28000000000000114,-0.08999999999999986
2009-08-07,28.11,0.013338139870223475,-0.7633149874389977,26.97866666666667,0.041264790051679524,0.370000000000001,-0.10000000000000142,-0.1700000000000017,-0.08999999999999986,0.08999999999999986
2009-08-08,27.86,-0.008893632159373888,-0.6976058825007262,27.019666666666666,0.04320199935400511,-0.25,0.120000000000001,-0.3500000000000014,-0.4200000000000017,-0.33999999999999986
2009-08-09,27.6,-0.009332376166546918,-0.6697293392908541,27.061,0.07113828990812567,-0.259999999999998,-0.509999999999998,-0.13999999999999702,-0.6099999999999994,-0.6799999999999997
2009-08-10,27.35,-0.009057971014492794,-0.6657061911427056,27.102000000000004,0.04835665410565622,-0.25,-0.509999999999998,-0.759999999999998,-0.389999999999997,-0.8599999999999994
2009-08-11,27.92,0.020840950639853695,-0.6345827343525803,27.141,0.020762518303186817,0.5700000000000003,0.3200000000000003,0.060000000000002274,-0.18999999999999773,0.18000000000000327
2009-08-12,27.91,-0.0003581661891117749,-0.2080225491673887,27.171166666666664,-0.036708160709159006,-0.010000000000001563,0.5599999999999987,0.3099999999999987,0.05000000000000071,-0.1999999999999993
