data,preco,residuos,tendencia,sazonalidade,diff_1,diff_2,diff_3,diff_4,diff_5
2006-05-04,27.82,0.9750250418109422,27.93683333333333,1.0002012446937536,0.240000000000002,0.23000000000000043,0.14999999999999858,0.6700000000000017,0.5
2006-05-05,27.76,0.9769138463164977,28.022333333333336,1.0013402404390144,-0.05999999999999872,0.18000000000000327,0.1700000000000017,0.08999999999999986,0.610000000000003
2006-05-08,27.28,0.9738481276193914,28.093,1.0017143616876476,-0.4800000000000004,-0.5399999999999991,-0.29999999999999716,-0.3099999999999987,-0.39000000000000057
2006-05-09,27.86,0.9781516658729416,28.18166666666666,1.0025036739465667,0.5799999999999983,0.09999999999999787,0.03999999999999915,0.28000000000000114,0.2699999999999996
2006-05-10,28.13,0.9959907873013686,28.273999999999997,1.0019520593853004,0.2699999999999996,0.8499999999999979,0.36999999999999744,0.3099999999999987,0.5500000000000007
2006-05-11,28.36,0.9963193236985567,28.344666666666665,1.001364384595261,0.23000000000000043,0.5,1.0799999999999983,0.5999999999999979,0.5399999999999991
2006-05-12,28.88,0.9883332806715578,28.426166666666667,1.001110116799455,0.5199999999999996,0.75,1.0199999999999996,1.5999999999999979,1.1199999999999974
2006-05-15,28.83,0.9864880145623449,28.523666666666664,0.999368145671266,-0.05000000000000071,0.46999999999999886,0.6999999999999993,0.9699999999999989,1.5499999999999972
2006-05-16,28.3,0.9960555925097635,28.615166666666664,0.9994239445060875,-0.5299999999999976,-0.5799999999999983,-0.05999999999999872,0.1700000000000017,0.4400000000000013
2006-05-17,29.03,1.000383301331622,28.687999999999995,0.9984111624197946,0.7300000000000004,0.20000000000000284,0.15000000000000213,0.6700000000000017,0.9000000000000021
2006-05-18,29.05,0.9931317851279402,28.763666666666662,0.9968989797388159,0.019999999999999574,0.75,0.22000000000000242,0.1700000000000017,0.6900000000000013
2006-05-19,28.61,0.9851206487400354,28.860166666666665,0.9974235504688211,-0.4400000000000013,-0.4200000000000017,0.3099999999999987,-0.21999999999999886,-0.2699999999999996
2006-05-22,29.4,1.0008342336668163,28.94883333333333,0.9970798446093898,0.7899999999999991,0.34999999999999787,0.36999999999999744,1.0999999999999979,0.5700000000000003
2006-05-23,29.23,0.994410674231542,29.02316666666666,0.9970181488336125,-0.16999999999999815,0.620000000000001,0.17999999999999972,0.1999999999999993,0.9299999999999997
2006-05-24,30.26,0.9899650338317325,29.08333333333333,0.9980534175739619,1.0300000000000011,0.860000000000003,1.6500000000000021,1.2100000000000009,1.2300000000000004
2006-05-25,29.63,0.9956175836829683,29.128666666666664,1.0009222732420067,-0.6300000000000026,0.3999999999999986,0.23000000000000043,1.0199999999999996,0.5799999999999983
2006-05-26,29.04,0.9893125027330045,29.175166666666662,1.0008207244389462,-0.5899999999999999,-1.2200000000000024,-0.19000000000000128,-0.35999999999999943,0.4299999999999997
2006-05-29,28.74,0.9693985068467581,29.231833333333327,1.001936880476342,-0.3000000000000007,-0.8900000000000006,-1.5200000000000031,-0.490000000000002,-0.6600000000000001
2006-05-30,30.14,0.9861170445867736,29.28683333333333,1.0008295806682983,1.4000000000000021,1.1000000000000014,0.5100000000000016,-0.120000000000001,0.9100000000000001
2006-05-31,29.5,0.992968647910818,29.315999999999995,0.9996038386073792,-0.6400000000000006,0.7600000000000016,0.46000000000000085,-0.129999999999999,-0.7600000000000016
2006-06-01,29.28,0.9991776974282542,29.329666666666665,0.9984808800395414,-0.21999999999999886,-0.8599999999999994,0.5400000000000027,0.240000000000002,-0.34999999999999787
2006-06-02,29.97,1.0148387475589766,29.340999999999998,1.0006045595640731,0.6899999999999977,0.46999999999999886,-0.1700000000000017,1.2300000000000004,0.9299999999999997
2006-06-05,30.02,1.011378663717643,29.34916666666666,1.0000620910665579,0.05000000000000071,0.7399999999999984,0.5199999999999996,-0.120000000000001,1.2800000000000011
2006-06-06,29.84,0.9895560664319284,29.367166666666666,1.0010115667451556,-0.17999999999999972,-0.129999999999999,0.5599999999999987,0.33999999999999986,-0.3000000000000007
2006-06-09,29.3,1.0135316980984097,29.387666666666664,0.999805098435613,-0.5399999999999991,-0.7199999999999989,-0.6699999999999982,0.019999999999999574,-0.1999999999999993
2006-06-12,30.0,1.0130963204223469,29.402333333333335,1.000525097464039,0.6999999999999993,0.16000000000000014,-0.019999999999999574,0.030000000000001137,0.7199999999999989
2006-06-13,30.26,0.9938924802054832,29.425166666666666,0.9998818255774828,0.26000000000000156,0.9600000000000009,0.4200000000000017,0.240000000000002,0.2900000000000027
2006-06-14,29.88,1.018559320371918,29.447666666666667,1.000106207321968,-0.38000000000000256,-0.120000000000001,0.5799999999999983,0.03999999999999915,-0.14000000000000057
2006-06-16,29.84,1.010138573791162,29.46033333333333,1.000495574310971,-0.03999999999999915,-0.4200000000000017,-0.16000000000000014,0.5399999999999991,0.0
2006-06-19,28.94,1.0424877410381281,29.45266666666667,1.001050526672877,-0.8999999999999986,-0.9399999999999977,-1.3200000000000003,-1.0599999999999987,-0.35999999999999943
2006-06-20,29.18,1.0162737128442967,29.44816666666667,1.0002012446937536,0.23999999999999844,-0.6600000000000001,-0.6999999999999993,-1.0800000000000018,-0.8200000000000003
2006-06-21,29.19,0.9945508122980748,29.467333333333332,1.0013402404390144,0.010000000000001563,0.25,-0.6499999999999986,-0.6899999999999977,-1.0700000000000003
2006-06-22,29.25,0.9812741246117884,29.496,1.0017143616876476,0.05999999999999872,0.07000000000000028,0.3099999999999987,-0.5899999999999999,-0.629999999999999
